tag,arm,fold,kind,n_te,sse,sstot,auc,secs,bss,설정,model,shared_from
base,shuffle0,0,C,869183,63041.5,73083.59375,0.7799613827348382,313.7,0.13740558222070187,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,1,A,870947,63580.9296875,73727.5390625,0.7828248915841947,301.2,0.13762305786984919,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,native CDLD A
base,shuffle1,2,B,867192,62984.453125,73266.7734375,0.7826813004045451,295.7,0.1403408370544842,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,3,B,898456,65204.859375,75049.609375,0.7768295342515428,284.6,0.1311765655009447,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,4,B,856770,62364.18359375,72333.28125,0.7819126889039721,301.0,0.13782172582209518,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,0,B,869183,63057.609375,73083.59375,0.7795592491548546,303.6,0.1371851582626915,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,0,A,869183,63089.3359375,73083.59375,0.7792791875088318,320.3,0.1367510449292869,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,native CDLD A
base,real,4,C,856770,61693.05859375,72333.28125,0.7936705089027309,308.2,0.14709995830930178,분해 정합 변종 CDLD-A,CDLD-A2,
base,shuffle0,2,C,867192,63038.875,73266.7734375,0.781297678286709,318.0,0.13959804639445295,분해 정합 변종 CDLD-A,CDLD-A2,
base,shuffle0,3,C,898456,65213.76171875,75049.609375,0.7757630477715272,309.9,0.13105794604610488,분해 정합 변종 CDLD-A,CDLD-A2,
base,real,3,B,898456,64859.5625,75049.609375,0.7827025181720048,289.9,0.13577748052069727,분해 정합 변종 CDLD-A,CDLD-A,
base,real,0,B,869183,62768.18359375,73083.59375,0.7847033443935145,295.2,0.14114536008637368,분해 정합 변종 CDLD-A,CDLD-A,
base,real,3,A,898456,65167.51953125,75049.609375,0.7769448323382755,311.8,0.13167410098528576,분해 정합 변종 CDLD-A,CDLD-A,native CDLD A
base,real,1,B,870947,63262.28125,73727.5390625,0.7891333498390126,316.4,0.1419450309283813,분해 정합 변종 CDLD-A,CDLD-A,
base,shuffle0,4,B,856770,62663.5234375,72333.28125,0.7765029926819798,287.9,0.1336833839886118,분해 정합 변종 CDLD-A,CDLD-A,
base,real,2,B,867192,62659.7421875,73266.7734375,0.7880973517104738,288.9,0.1447727360213057,분해 정합 변종 CDLD-A,CDLD-A,
base,shuffle1,3,B,898456,65218.40625,75049.609375,0.776749132392924,283.8,0.1309960598978801,분해 정합 변종 CDLD-A,CDLD-A,
base,real,4,A,856770,62661.97265625,72333.28125,0.7780772644166684,305.2,0.13370482337616896,분해 정합 변종 CDLD-A,CDLD-A,native CDLD A
base,real,0,C,869183,62082.86328125,73083.59375,0.7936857867477831,274.8,0.150522571541578,분해 정합 변종 CDLD-A,CDLD-A2,
base,shuffle1,1,C,870947,63597.75,73727.5390625,0.781549910277337,312.9,0.13739491635429224,분해 정합 변종 CDLD-A,CDLD-A2,
base,real,2,C,867192,61971.328125,73266.7734375,0.7966915406662668,306.4,0.1541687286411697,분해 정합 변종 CDLD-A,CDLD-A2,
base,shuffle0,2,B,867192,62972.9453125,73266.7734375,0.7828543447685749,302.0,0.1404979043301411,분해 정합 변종 CDLD-A,CDLD-A,
base,shuffle1,4,B,856770,62672.0,72333.28125,0.7764494057302417,295.7,0.13356619640423129,분해 정합 변종 CDLD-A,CDLD-A,
base,shuffle1,1,B,870947,63639.3046875,73727.5390625,0.782831667526866,299.7,0.1368312913095885,분해 정합 변종 CDLD-A,CDLD-A,
